Inventario Objetivo,Inventario Alarma,Costo Transporte,Costo Inventario,Costo Quiebre de Stock,Costo Total,Porcentaje de Satisfacción de Demanda
0,0,1616834.52,1615248.76,1150111.35,4382194.63,86.84\%
1,0,1630215.0,1614604.94,1116500.79,4361320.73,86.93\%
1,1,1614518.76,1617325.38,1089234.22,4321078.36,86.91\%
2,0,1653418.02,1642530.78,1102048.25,4397997.05,87.41\%
2,1,1642066.68,1741052.76,1004052.46,4387171.9,87.58\%
2,2,1619702.82,1802404.94,968572.31,4390680.07,87.59\%
3,0,1650643.74,1639820.78,1102027.24,4392491.76,87.43\%
3,1,1651498.92,1776763.88,983634.04,4411896.84,87.76\%
3,2,1629548.1,1975276.66,923030.0,4527854.76,87.35\%
3,3,1628737.14,2132987.44,881163.85,4642888.43,88.09\%
4,0,1644873.18,1633434.42,1104947.16,4383254.76,87.12\%
4,1,1649839.62,1769870.46,988339.52,4408049.6,87.57\%
4,2,1638976.38,1998349.74,920005.05,4557331.17,87.13\%
4,3,1638511.62,2328814.16,864316.56,4831642.34,87.69\%
4,4,1619630.04,2471907.56,842301.64,4933839.24,87.53\%
