Replica,Costo Transporte,Costo Inventario,Costo Quiebre Stock,Costo Total,Porcentaje de Satisfaccion de Demanda
1,1104744.0,1099137,1150111.35,3353992.35,60.99
2,1223955.0,1217005,1150111.35,3591071.35,66.08
3,1145337.0,1138383,1150111.35,3433831.35,62.42
4,1178352.0,1170594,1150111.35,3499057.35,62.74
5,1135776.0,1128454,1150111.35,3414341.35,61.33
6,1096866.0,1092147,1150111.35,3339124.35,58.91
7,1136226.0,1129603,1150111.35,3415940.35,60.69
8,1167381.0,1160939,1150111.35,3478431.35,63.64
9,1213314.0,1208471,1150111.35,3571896.35,66.5
10,1135182.0,1129392,1150111.35,3414685.35,61.48
11,1138257.0,1131471,1150111.35,3419839.35,61.4
12,1121862.0,1116088,1150111.35,3388061.35,59.98
13,1095876.0,1090182,1150111.35,3336169.35,58.79
14,1162452.0,1155310,1150111.35,3467873.35,62.65
15,1171458.0,1165150,1150111.35,3486719.35,63.71
16,1064292.0,1059884,1150111.35,3274287.35,56.71
17,1155231.0,1149180,1150111.35,3454522.35,63.04
18,1235811.0,1230057,1150111.35,3615979.35,66.98
19,1244937.0,1236843,1150111.35,3631891.35,66.37
20,1123275.0,1116811,1150111.35,3390197.35,60.51
21,1204272.0,1197971,1150111.35,3552354.35,64.19
22,1148031.0,1141652,1150111.35,3439794.35,61.98
23,1155807.0,1150098,1150111.35,3456016.35,62.51
24,1095594.0,1090637,1150111.35,3336342.35,59.31
25,1206741.0,1199344,1150111.35,3556196.35,64.83
26,1216239.0,1208870,1150111.35,3575220.35,65.35
27,1065111.0,1062281,1144859.7,3272251.7,59.95
28,1114638.0,1107407,1150111.35,3372156.35,59.41
29,1086321.0,1080152,1150111.35,3316584.35,59.69
30,1180818.0,1173506,1150111.35,3504435.35,63.93
31,1152828.0,1146576,1150111.35,3449515.35,61.39
32,1200102.0,1193089,1150111.35,3543302.35,65.19
33,1107003.0,1100327,1150111.35,3357441.35,59.72
34,1123656.0,1116252,1150111.35,3390019.35,60.41
35,1085982.0,1080635,1150111.35,3316728.35,59.73
36,1190868.0,1182984,1150111.35,3523963.35,63.69
37,1105197.0,1097833,1150111.35,3353141.35,60.16
38,1150338.0,1143547,1150111.35,3443996.35,62.6
39,1058811.0,1052889,1150111.35,3261811.35,56.54
40,1221663.0,1214467,1150111.35,3586241.35,65.17
41,1104741.0,1098063,1150111.35,3352915.35,60.33
42,1136322.0,1128239,1150111.35,3414672.35,60.84
43,1122036.0,1114532,1150111.35,3386679.35,60.67
44,1107789.0,1101279,1150111.35,3359179.35,59.52
45,1179912.0,1172026,1150111.35,3502049.35,63.09
46,1160499.0,1155133,1150111.35,3465743.35,62.39
47,1177977.0,1171941,1150111.35,3500029.35,62.74
48,1121841.0,1114771,1150111.35,3386723.35,60.01
49,1056306.0,1049085,1150111.35,3255502.35,57.31
50,1161651.0,1154347,1150111.35,3466109.35,62.9
Promedio,1144993.56,1138500.68,1150006.32,3433500.56,61.81
