Replica,Costo Transporte,Costo Inventario,Costo Quiebre Stock,Costo Total,Porcentaje de Satisfaccion de Demanda
1,1686066.0,2176212,868622.91,4730900.91,88.88
2,1701696.0,2251748,824509.05,4777953.05,89.19
3,1636848.0,2058902,878075.88,4573825.88,87.05
4,1659021.0,2021813,915887.76,4596721.76,87.92
5,1682520.0,1999351,956850.63,4638721.63,88.22
6,1666323.0,2107805,864421.59,4638549.59,88.49
7,1642503.0,1898939,963152.61,4504594.61,87.02
8,1669041.0,1959551,962102.28,4590694.28,86.93
9,1691985.0,2157458,856018.95,4705461.95,89.14
10,1690386.0,2100807,881226.87,4672419.87,89.02
11,1662549.0,2014104,905384.46,4582037.46,87.95
12,1744818.0,2460703,746784.63,4952305.63,91.36
13,1660707.0,2030310,904334.13,4595351.13,87.46
14,1659240.0,2084003,881226.87,4624469.87,88.29
15,1696434.0,2319012,788797.83,4804243.83,89.33
16,1596555.0,1699262,1069235.94,4365052.94,84.69
17,1758480.0,2348833,812955.42,4920268.42,92.04
18,1610739.0,1710397,1083940.56,4405076.56,85.46
19,1645008.0,2077592,875975.22,4598575.22,86.96
20,1758927.0,2295124,840264.0,4894315.0,91.27
21,1658268.0,2025852,923240.07,4607360.07,87.86
22,1645665.0,1972235,936894.36,4554794.36,87.12
23,1721556.0,2271560,819257.4,4812373.4,90.24
24,1667445.0,2054237,907485.12,4629167.12,88.14
25,1705884.0,2217965,859169.94,4783018.94,90.13
26,1716057.0,2165405,875975.22,4757437.22,89.72
27,1629126.0,1896380,958951.29,4484457.29,85.31
28,1688892.0,2008927,955800.3,4653619.3,88.96
29,1701591.0,2116714,917988.42,4736293.42,89.07
30,1649814.0,2077205,871773.9,4598792.9,87.54
31,1688331.0,2193158,841314.33,4722803.33,89.09
32,1653189.0,2019346,901183.14,4573718.14,86.1
33,1651821.0,2022664,924290.4,4598775.4,87.2
34,1697865.0,2115549,892780.5,4706194.5,88.48
35,1617177.0,1766943,1033524.72,4417644.72,85.42
36,1642563.0,2019997,923240.07,4585800.07,86.88
37,1616841.0,1917328,940045.35,4474214.35,85.69
38,1702371.0,2373078,775143.54,4850592.54,89.3
39,1665630.0,1986409,940045.35,4592084.35,87.33
40,1732989.0,2457471,754136.94,4944596.94,90.44
41,1675794.0,2029415,925340.73,4630549.73,87.96
42,1809600.0,2824086,610241.73,5243927.73,92.52
43,1617825.0,1926486,935844.03,4480155.03,85.87
44,1629039.0,1797050,1035625.38,4461714.38,86.66
45,1631535.0,1864292,988360.53,4484187.53,86.05
46,1779267.0,2422041,780395.19,4981703.19,92.14
47,1686852.0,2185856,854968.62,4727676.62,89.13
48,1723509.0,2222827,852867.96,4799203.96,89.4
49,1627386.0,1963919,938995.02,4530300.02,85.85
50,1640541.0,1741223,1069235.94,4450999.94,84.78
Promedio,1675885.38,2088550.88,896477.66,4660913.92,88.14
